antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,rule
frozenset({'entity=bill maher'}),frozenset({'category=COMEDY'}),0.0020039512823468273,0.06656515470463456,0.0018401570806615669,0.9182643794147326,13.794971009821735,1.0,0.0017067637535315996,11.420171996144534,0.9293722317169633,0.027576593230097885,0.91243564454742,0.47295441462990107,frozenset({'entity=bill maher'}) → frozenset({'category=COMEDY'})
frozenset({'entity=jimmy kimmel'}),frozenset({'category=COMEDY'}),0.0025115110925073253,0.06656515470463456,0.0020039512823468273,0.7979066022544283,11.98685116552241,1.0,0.0018367721579316714,4.618828995445593,0.9188830401011538,0.02987729506466882,0.7834949072619808,0.4140058559604361,frozenset({'entity=jimmy kimmel'}) → frozenset({'category=COMEDY'})
frozenset({'entity=john oliver'}),frozenset({'category=COMEDY'}),0.0013831510364533096,0.06656515470463456,0.0012132903828537803,0.8771929824561403,13.177960546301657,1.0,0.0011212207201323902,7.600826597405116,0.9253956856384369,0.018180716320223018,0.8684353619721578,0.4477100461220491,frozenset({'entity=john oliver'}) → frozenset({'category=COMEDY'})
frozenset({'entity=seth'}),frozenset({'category=COMEDY'}),0.0018987994491661661,0.06656515470463456,0.0017370273981189954,0.9148029818956336,13.742970867488136,1.0,0.0016106335190321746,10.956191496654343,0.9289995131379175,0.02603188072004364,0.9087274076666726,0.47044906370436335,frozenset({'entity=seth'}) → frozenset({'category=COMEDY'})
frozenset({'entity=stephen colbert'}),frozenset({'category=COMEDY'}),0.0025337547495263113,0.06656515470463456,0.0022830080704031967,0.9010375099760575,13.536173903210702,1.0,0.002114348293517375,9.432208557702364,0.9284764120814614,0.03416863385993584,0.8939802916907094,0.46766742744686585,frozenset({'entity=stephen colbert'}) → frozenset({'category=COMEDY'})
frozenset({'entity=lgbt'}),frozenset({'category=QUEER VOICES'}),0.002232454304450956,0.06667637298972949,0.002113147416803667,0.9465579710144927,14.196302656719133,1.0,0.001964295460917568,17.464225156259953,0.9316389650726401,0.03163598934366675,0.9427400877478063,0.48912528399388694,frozenset({'entity=lgbt'}) → frozenset({'category=QUEER VOICES'})
frozenset({'entity=kate middleton'}),frozenset({'category=STYLE & BEAUTY'}),0.0011647587675396292,0.06667232868845331,0.0010090531684067274,0.8663194444444444,12.993688108489279,1.0,0.0009313959890145674,6.981775826953906,0.9241159285938823,0.015099249576373762,0.8567699644352099,0.44072697829574137,frozenset({'entity=kate middleton'}) → frozenset({'category=STYLE & BEAUTY'})
frozenset({'entity=tumblr'}),frozenset({'category=STYLE & BEAUTY'}),0.004179785368931273,0.06667232868845331,0.00403419052298882,0.9651669085631351,14.476274153752307,1.0,0.0037555144990242457,26.794281897235777,0.9348288358207278,0.06037587386133221,0.962678604194906,0.5128373137338135,frozenset({'entity=tumblr'}) → frozenset({'category=STYLE & BEAUTY'})
frozenset({'entity=fbi'}),frozenset({'sentiment=negative'}),0.001209246081577601,0.4484321255027572,0.001005008867130548,0.831103678929766,1.8533544580419583,1.0,0.0004627440765128239,3.2657187024688255,0.4609952614405877,0.0022401413497640417,0.693788690604608,0.4166724202729638,frozenset({'entity=fbi'}) → frozenset({'sentiment=negative'})
"frozenset({'entity=bill maher', 'sentiment=negative'})",frozenset({'category=COMEDY'}),0.001358885228796234,0.06656515470463456,0.0012416004917870352,0.9136904761904762,13.726257833317423,1.0,0.0011511460863063711,10.814969242042851,0.9284085322996016,0.01861960213488598,0.9075355668962486,0.4661714426034099,"frozenset({'entity=bill maher', 'sentiment=negative'}) → frozenset({'category=COMEDY'})"
"frozenset({'entity=jimmy kimmel', 'sentiment=negative'})",frozenset({'category=COMEDY'}),0.0013851731870913992,0.06656515470463456,0.0011142050015873883,0.8043795620437957,12.084093631465581,1.0,0.0010220007340959376,4.771663201696459,0.9185188940002948,0.016670700714026383,0.7904294670997584,0.41055906226620187,"frozenset({'entity=jimmy kimmel', 'sentiment=negative'}) → frozenset({'category=COMEDY'})"
"frozenset({'entity=seth', 'sentiment=negative'})",frozenset({'category=COMEDY'}),0.0012072239309395113,0.06656515470463456,0.001132404357330195,0.9380234505862647,14.091809066597953,1.0,0.0010520453096040693,15.061097368684687,0.9301597014821769,0.016992869063874982,0.9336037756399332,0.4775177098608461,"frozenset({'entity=seth', 'sentiment=negative'}) → frozenset({'category=COMEDY'})"
"frozenset({'entity=stephen colbert', 'sentiment=negative'})",frozenset({'category=COMEDY'}),0.0016581635232334998,0.06656515470463456,0.0015004357734625083,0.9048780487804878,13.593869837689812,1.0,0.0013900598620128885,9.813032989002563,0.9279761663402367,0.022487574251424416,0.8980947072000373,0.4637094539424646,"frozenset({'entity=stephen colbert', 'sentiment=negative'}) → frozenset({'category=COMEDY'})"
"frozenset({'category=ENVIRONMENT', 'entity=florida'})",frozenset({'sentiment=negative'}),0.001391239639005668,0.4484321255027572,0.0010515183318066095,0.755813953488372,1.685458981425551,1.0,0.0004276417834036091,2.2588017717506124,0.4072563944201231,0.0023431022674020403,0.5572874023270392,0.37907941541662465,"frozenset({'category=ENVIRONMENT', 'entity=florida'}) → frozenset({'sentiment=negative'})"
"frozenset({'entity=white house', 'category=POLITICS'})",frozenset({'sentiment=negative'}),0.0016723185777001272,0.4484321255027572,0.001187002424558615,0.709794437726723,1.5828358348121043,1.0,0.00043708105024279915,1.900610967538415,0.3688393590063244,0.002644144144144144,0.47385339920712216,0.35622072174936437,"frozenset({'entity=white house', 'category=POLITICS'}) → frozenset({'sentiment=negative'})"
"frozenset({'sentiment=positive', 'entity=lgbt'})",frozenset({'category=QUEER VOICES'}),0.0011182493028635675,0.06667637298972949,0.0010919613445684023,0.976491862567812,14.645245666230617,1.0,0.001017400536955166,39.70215121051385,0.9327615149817914,0.016370581458800704,0.9748124479528156,0.49643444916217,"frozenset({'sentiment=positive', 'entity=lgbt'}) → frozenset({'category=QUEER VOICES'})"
"frozenset({'sentiment=neutral', 'entity=tumblr'})",frozenset({'category=STYLE & BEAUTY'}),0.0020706822534037853,0.06667232868845331,0.0020039512823468273,0.9677734375,14.51536876748696,1.0,0.001865894074538543,28.96144046736436,0.9330395313488582,0.030026663434735187,0.9654713307120595,0.4989150770042234,"frozenset({'sentiment=neutral', 'entity=tumblr'}) → frozenset({'category=STYLE & BEAUTY'})"
"frozenset({'sentiment=positive', 'entity=tumblr'})",frozenset({'category=STYLE & BEAUTY'}),0.001540878786224301,0.06667232868845331,0.0014862807189958808,0.9645669291338582,14.467275226594978,1.0,0.0013835467420916692,26.340580945903614,0.9323150682377978,0.022274077216801018,0.9620357651923575,0.4934296233124934,"frozenset({'sentiment=positive', 'entity=tumblr'}) → frozenset({'category=STYLE & BEAUTY'})"
"frozenset({'entity=america', 'category=TRAVEL'})",frozenset({'sentiment=positive'}),0.0018401570806615669,0.4111820885985081,0.0013063093122059036,0.7098901098901099,1.7264616567072073,1.0,0.0005496696804301471,2.029637497633931,0.4215563791438397,0.0031728412646179083,0.5073011800551775,0.3565335352660952,"frozenset({'entity=america', 'category=TRAVEL'}) → frozenset({'sentiment=positive'})"
