antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'category=POLITICS'}),"frozenset({'sentiment=negative', 'word=trump'})",0.31614349775784756,0.04147982062780269,0.03699551569506727,0.11702127659574468,2.821161587119034,1.0,0.023881940115425607,1.0855529742287537,0.9439642324888226,0.11538461538461538,0.07881050143088215,0.5044565842438182
frozenset({'word=trump'}),"frozenset({'category=POLITICS', 'sentiment=negative'})",0.05941704035874439,0.2320627802690583,0.03699551569506727,0.6226415094339623,2.6830735575608426,1.0,0.023207032114058196,2.035033632286996,0.6669194929028064,0.14537444933920704,0.5086076298030575,0.3910308996445174
frozenset({'category=FOOD & DRINK'}),frozenset({'sentiment=positive'}),0.052690582959641255,0.35538116591928254,0.033632286995515695,0.6382978723404256,1.7960936975635948,1.0,0.014907046190351703,1.7821814824584545,0.46788954635108476,0.08982035928143713,0.43888991674375577,0.36646754815759447
frozenset({'category=POLITICS'}),frozenset({'sentiment=negative'}),0.31614349775784756,0.5392376681614349,0.2320627802690583,0.7340425531914894,1.3612597867917018,1.0,0.06158629773371674,1.7324663677130048,0.3880731765264908,0.3723021582733813,0.4227882176321376,0.5821979917724599
"frozenset({'category=POLITICS', 'word=trump'})",frozenset({'sentiment=negative'}),0.052690582959641255,0.5392376681614349,0.03699551569506727,0.7021276595744681,1.3020745786703236,1.0,0.008582768605843678,1.5468449711723258,0.24489869105253737,0.06666666666666668,0.3535228037479941,0.3853673640907684
frozenset({'word=trump'}),frozenset({'sentiment=negative'}),0.05941704035874439,0.5392376681614349,0.04147982062780269,0.6981132075471699,1.2946298984034836,1.0,0.009439914335699497,1.526275224215247,0.24195470798569738,0.0744466800804829,0.34481017307074346,0.3875181422351234
frozenset({'category=ENTERTAINMENT'}),frozenset({'sentiment=positive'}),0.22757847533632286,0.35538116591928254,0.09641255605381166,0.4236453201970444,1.1920871470528818,1.0,0.015535452150656562,1.1184412249434672,0.20861038917203906,0.19815668202764977,0.1058984793317627,0.34746934779568306
frozenset({'category=WELLNESS'}),frozenset({'sentiment=negative'}),0.053811659192825115,0.5392376681614349,0.033632286995515695,0.625,1.1590436590436592,1.0,0.004615013372478837,1.228699551569507,0.1450236966824645,0.06012024048096192,0.18613138686131397,0.3436850311850312
frozenset({'category=POLITICS'}),frozenset({'sentiment=neutral'}),0.31614349775784756,0.10538116591928251,0.034753363228699555,0.1099290780141844,1.0431567828580053,1.0,0.0014377928371775012,1.00510960641738,0.06049709148598621,0.08985507246376813,0.005083631063474296,0.2198581560283688
